Token,Lexeme,Form,Stem,Rule
ποιομέναις,lsj.n84234,forms.5031032300,verbstems.n84234,ptcplinfl.ewpres26p
ποιομένας,lsj.n84234,forms.5031032400,verbstems.n84234,ptcplinfl.ewpres27p
ποιητέον,lsj.n84234,forms.6010003100,verbstems.n84234,vadjinfl.econtr1
ποιητέον,lsj.n84234,forms.6010003400,verbstems.n84234,vadjinfl.econtr2
ἥγησαι,lsj.n46613,forms.3213420000,verbstems.n46613,verbinfl.ewdepaorimp5
ἡγησάσθω,lsj.n46613,forms.3313420000,verbstems.n46613,verbinfl.ewdepaorimp6
ἡγήσασθε,lsj.n46613,forms.3233420000,verbstems.n46613,verbinfl.ewdepaorimp7
ἡγησάσθων,lsj.n46613,forms.3333420000,verbstems.n46613,verbinfl.ewdepaorimp8
ἡγήσθητι,lsj.n46613,forms.3213430000,verbstems.n46613,verbinfl.ewdepaorimp9
ἡγησθήτω,lsj.n46613,forms.3313430000,verbstems.n46613,verbinfl.ewdepaorimp10
ἡγήσθητε,lsj.n46613,forms.3233430000,verbstems.n46613,verbinfl.ewdepaorimp11
ἡγησθέντων,lsj.n46613,forms.3333430000,verbstems.n46613,verbinfl.ewdepaorimp12
ἡγησάμην,lsj.n46613,forms.3113120000,verbstems.n46613,verbinfl.ewdepaor2
ἡγήθην,lsj.n46613,forms.3113130000,verbstems.n46613,verbinfl.ewdepaor3
ἡγήσω,lsj.n46613,forms.3213120000,verbstems.n46613,verbinfl.ewdepaor5
ἡγήθης,lsj.n46613,forms.3213130000,verbstems.n46613,verbinfl.ewdepaor6
ἡγήσατο,lsj.n46613,forms.3313120000,verbstems.n46613,verbinfl.ewdepaor8
ἡγήθη,lsj.n46613,forms.3313130000,verbstems.n46613,verbinfl.ewdepaor9
ἡγησάμεθα,lsj.n46613,forms.3133120000,verbstems.n46613,verbinfl.ewdepaor11
ἡγήθημεν,lsj.n46613,forms.3133130000,verbstems.n46613,verbinfl.ewdepaor12
ἡγήσασθε,lsj.n46613,forms.3233120000,verbstems.n46613,verbinfl.ewdepaor14
ἡγήθητε,lsj.n46613,forms.3233130000,verbstems.n46613,verbinfl.ewdepaor15
ἡγήσαντο,lsj.n46613,forms.3333120000,verbstems.n46613,verbinfl.ewdepaor17
ἡγήθησαν,lsj.n46613,forms.3333130000,verbstems.n46613,verbinfl.ewdepaor18
ἡγησαίμην,lsj.n46613,forms.3113320000,verbstems.n46613,verbinfl.ewdepaoropt2
ἡγηθείην,lsj.n46613,forms.3113330000,verbstems.n46613,verbinfl.ewdepaoropt3
ἡγήσαιο,lsj.n46613,forms.3213320000,verbstems.n46613,verbinfl.ewdepaoropt5
ἡγηθείη,lsj.n46613,forms.3213330000,verbstems.n46613,verbinfl.ewdepaoropt6
ἡγήσαιτο,lsj.n46613,forms.3313320000,verbstems.n46613,verbinfl.ewdepaoropt8
ἡγηθείη,lsj.n46613,forms.3313330000,verbstems.n46613,verbinfl.ewdepaoropt9
ἡγησαίμεθα,lsj.n46613,forms.3133320000,verbstems.n46613,verbinfl.ewdepaoropt11
ἡγηθεῖμεν,lsj.n46613,forms.3133330000,verbstems.n46613,verbinfl.ewdepaoropt12
ἡγήσαισθε,lsj.n46613,forms.3233320000,verbstems.n46613,verbinfl.ewdepaoropt14
ἡγηθεῖτε,lsj.n46613,forms.3233330000,verbstems.n46613,verbinfl.ewdepaoropt15
ἡγήσαιντο,lsj.n46613,forms.3333320000,verbstems.n46613,verbinfl.ewdepaoropt17
ἡγηθεῖεν,lsj.n46613,forms.3333330000,verbstems.n46613,verbinfl.ewdepaoropt18
ἡγήσωμαι,lsj.n46613,forms.3113220000,verbstems.n46613,verbinfl.ewdepaorsubj2
ἡγηθῶ,lsj.n46613,forms.3113230000,verbstems.n46613,verbinfl.ewdepaorsubj3
ἡγήσῃ,lsj.n46613,forms.3213220000,verbstems.n46613,verbinfl.ewdepaorsubj5
ἡγηθῇς,lsj.n46613,forms.3213230000,verbstems.n46613,verbinfl.ewdepaorsubj6
ἡγήσηται,lsj.n46613,forms.3313220000,verbstems.n46613,verbinfl.ewdepaorsubj8
ἡγηθῇ,lsj.n46613,forms.3313230000,verbstems.n46613,verbinfl.ewdepaorsubj9
ἡγησώμεθα,lsj.n46613,forms.3133220000,verbstems.n46613,verbinfl.ewdepaorsubj11
ἡγηθῶμεν,lsj.n46613,forms.3133230000,verbstems.n46613,verbinfl.ewdepaorsubj12
ἡγήσησθε,lsj.n46613,forms.3233220000,verbstems.n46613,verbinfl.ewdepaorsubj14
ἡγηθῆτε,lsj.n46613,forms.3233230000,verbstems.n46613,verbinfl.ewdepaorsubj15
ἡγήσωνται,lsj.n46613,forms.3333220000,verbstems.n46613,verbinfl.ewdepaorsubj17
ἡγηθῶσι,lsj.n46613,forms.3333230000,verbstems.n46613,verbinfl.ewdepaorsubj18
ἡγηθῶσιν,lsj.n46613,forms.3333230000,verbstems.n46613,verbinfl.ewdepaorsubj18a
ἡγήσομαι,lsj.n46613,forms.3116120000,verbstems.n46613,verbinfl.ewdepfut2
ἡγηθήσομαι,lsj.n46613,forms.3116130000,verbstems.n46613,verbinfl.ewdepfut3
ἡγήσει,lsj.n46613,forms.3216120000,verbstems.n46613,verbinfl.ewdepfut5
ἡγηθήσεις,lsj.n46613,forms.3216130000,verbstems.n46613,verbinfl.ewdepfut6
ἡγήσεται,lsj.n46613,forms.3316120000,verbstems.n46613,verbinfl.ewdepfut8
ἡγηθήσει,lsj.n46613,forms.3316130000,verbstems.n46613,verbinfl.ewdepfut9
ἡγησόμεθα,lsj.n46613,forms.3136120000,verbstems.n46613,verbinfl.ewdepfut11
ἡγηθησόμεθα,lsj.n46613,forms.3136130000,verbstems.n46613,verbinfl.ewdepfut12
ἡγήσεσθε,lsj.n46613,forms.3236120000,verbstems.n46613,verbinfl.ewdepfut14
ἡγηθήσεσθε,lsj.n46613,forms.3236130000,verbstems.n46613,verbinfl.ewdepfut15
ἡγήσονται,lsj.n46613,forms.3336120000,verbstems.n46613,verbinfl.ewdepfut17
ἡγηθήσονται,lsj.n46613,forms.3336130000,verbstems.n46613,verbinfl.ewdepfut18
ἡγησοίμην,lsj.n46613,forms.3116320000,verbstems.n46613,verbinfl.ewdepfutopt2
ἡγηθησοίμην,lsj.n46613,forms.3116330000,verbstems.n46613,verbinfl.ewdepfutopt3
ἡγήσοιο,lsj.n46613,forms.3216320000,verbstems.n46613,verbinfl.ewdepfutopt5
ἡγηθήσοιο,lsj.n46613,forms.3216330000,verbstems.n46613,verbinfl.ewdepfutopt6
ἡγήσοιτο,lsj.n46613,forms.3316320000,verbstems.n46613,verbinfl.ewdepfutopt8
ἡγηθήσοιτο,lsj.n46613,forms.3316330000,verbstems.n46613,verbinfl.ewdepfutopt9
ἡγησοίμεθα,lsj.n46613,forms.3136320000,verbstems.n46613,verbinfl.ewdepfutopt11
ἡγηθησοίμην,lsj.n46613,forms.3136330000,verbstems.n46613,verbinfl.ewdepfutopt12
ἡγήσοισθε,lsj.n46613,forms.3236320000,verbstems.n46613,verbinfl.ewdepfutopt14
ἡγηθήσοισθε,lsj.n46613,forms.3236330000,verbstems.n46613,verbinfl.ewdepfutopt15
ἡγήσοιντο,lsj.n46613,forms.3336320000,verbstems.n46613,verbinfl.ewdepfutopt17
ἡγηθήσοιντο,lsj.n46613,forms.3336330000,verbstems.n46613,verbinfl.ewdepfutopt18
ἡγούμην,lsj.n46613,forms.3112120000,verbstems.n46613,verbinfl.ewdepimpft2
ἡγούμην,lsj.n46613,forms.3112130000,verbstems.n46613,verbinfl.ewdepimpft3
ἡγοῦ,lsj.n46613,forms.3212120000,verbstems.n46613,verbinfl.ewdepimpft5
ἡγοῦ,lsj.n46613,forms.3212130000,verbstems.n46613,verbinfl.ewdepimpft6
ἡγεῖτο,lsj.n46613,forms.3312120000,verbstems.n46613,verbinfl.ewdepimpft8
ἡγεῖτο,lsj.n46613,forms.3312130000,verbstems.n46613,verbinfl.ewdepthird9
ἡγούμεθα,lsj.n46613,forms.3132120000,verbstems.n46613,verbinfl.ewdepimpft11
ἡγούμεθα,lsj.n46613,forms.3132130000,verbstems.n46613,verbinfl.ewdepimpft12
ἡγεῖσθε,lsj.n46613,forms.3232120000,verbstems.n46613,verbinfl.ewdepimpft14
ἡγεῖσθε,lsj.n46613,forms.3232130000,verbstems.n46613,verbinfl.ewdepimpft15
ἡγοῦντο,lsj.n46613,forms.3332120000,verbstems.n46613,verbinfl.ewdepimpft17
ἡγοῦντο,lsj.n46613,forms.3332130000,verbstems.n46613,verbinfl.ewdepimpft18
ἥγημαι,lsj.n46613,forms.3114120000,verbstems.n46613,verbinfl.ewdeppft2
ἥγημαι,lsj.n46613,forms.3114130000,verbstems.n46613,verbinfl.ewdeppft3
ἥγησαι,lsj.n46613,forms.3214120000,verbstems.n46613,verbinfl.ewdeppft5
ἥγησαι,lsj.n46613,forms.3214130000,verbstems.n46613,verbinfl.ewdeppft6
ἥγηται,lsj.n46613,forms.3314120000,verbstems.n46613,verbinfl.ewdeppft8
ἥγηται,lsj.n46613,forms.3314130000,verbstems.n46613,verbinfl.ewdeppft9
ἡγήμεθα,lsj.n46613,forms.3134120000,verbstems.n46613,verbinfl.ewdeppft11
ἡγήμεθα,lsj.n46613,forms.3134130000,verbstems.n46613,verbinfl.ewdeppft12
ἥγησθε,lsj.n46613,forms.3234120000,verbstems.n46613,verbinfl.ewdeppft14
ἥγησθε,lsj.n46613,forms.3234130000,verbstems.n46613,verbinfl.ewdeppft15
ἥγηνται,lsj.n46613,forms.3334120000,verbstems.n46613,verbinfl.ewdeppft17
ἥγηνται,lsj.n46613,forms.3334130000,verbstems.n46613,verbinfl.ewdeppft18
ἡγήμην,lsj.n46613,forms.3115120000,verbstems.n46613,verbinfl.ewdepplupft2
ἡγήμην,lsj.n46613,forms.3115130000,verbstems.n46613,verbinfl.ewdepplupft3
ἥγησο,lsj.n46613,forms.3215120000,verbstems.n46613,verbinfl.ewdepplupft5
ἥγησο,lsj.n46613,forms.3215130000,verbstems.n46613,verbinfl.ewdepplupft6
ἥγητο,lsj.n46613,forms.3315120000,verbstems.n46613,verbinfl.ewdepplupft8
ἥγητο,lsj.n46613,forms.3315130000,verbstems.n46613,verbinfl.ewdepplupft9
ἡγήμεθα,lsj.n46613,forms.3135120000,verbstems.n46613,verbinfl.ewdepplupft11
ἡγήμεθα,lsj.n46613,forms.3135130000,verbstems.n46613,verbinfl.ewdepplupft12
ἥγησθε,lsj.n46613,forms.3235120000,verbstems.n46613,verbinfl.ewdepplupft14
ἥγησθε,lsj.n46613,forms.3235130000,verbstems.n46613,verbinfl.ewdepplupft15
ἥγηντο,lsj.n46613,forms.3335120000,verbstems.n46613,verbinfl.ewdepplupft17
ἥγηντο,lsj.n46613,forms.3335130000,verbstems.n46613,verbinfl.ewdepplupft18
ἡγοῦ,lsj.n46613,forms.3211420000,verbstems.n46613,verbinfl.ewdeppresimp5
ἡγείσθω,lsj.n46613,forms.3311420000,verbstems.n46613,verbinfl.ewdeppresimp6
ἡγείσθων,lsj.n46613,forms.3331420000,verbstems.n46613,verbinfl.ewdeppresimp8
ἡγοῦ,lsj.n46613,forms.3211430000,verbstems.n46613,verbinfl.ewdeppresimp9
ἡγείσθω,lsj.n46613,forms.3311430000,verbstems.n46613,verbinfl.ewdeppresimp10
ἡγεῖσθε,lsj.n46613,forms.3231430000,verbstems.n46613,verbinfl.ewdeppresimp11
ἡγείσθων,lsj.n46613,forms.3331430000,verbstems.n46613,verbinfl.ewdeppresimp12
ἡγοῦμαι,lsj.n46613,forms.3111120000,verbstems.n46613,verbinfl.ewdeppresindic2
ἡγοῦμαι,lsj.n46613,forms.3111130000,verbstems.n46613,verbinfl.ewdeppresindic3
ἡγεῖ,lsj.n46613,forms.3211120000,verbstems.n46613,verbinfl.ewdeppresindic5
ἡγῇ,lsj.n46613,forms.3211120000,verbstems.n46613,verbinfl.ewdeppresindic5a
ἡγεῖ,lsj.n46613,forms.3211130000,verbstems.n46613,verbinfl.ewdeppresindic5
ἡγῇ,lsj.n46613,forms.3211130000,verbstems.n46613,verbinfl.ewdeppresindic6a
ἡγεῖται,lsj.n46613,forms.3311120000,verbstems.n46613,verbinfl.ewdeppresindic8
ἡγεῖται,lsj.n46613,forms.3311130000,verbstems.n46613,verbinfl.ewdeppresindic9
ἡγοῦμεθα,lsj.n46613,forms.3131120000,verbstems.n46613,verbinfl.ewdeppresindic11
ἡγοῦμεθα,lsj.n46613,forms.3131130000,verbstems.n46613,verbinfl.ewdeppresindic12
ἡγεῖσθε,lsj.n46613,forms.3231120000,verbstems.n46613,verbinfl.ewdeppresindic14
ἡγεῖσθε,lsj.n46613,forms.3231130000,verbstems.n46613,verbinfl.ewdeppresindic15
ἡγοῦνται,lsj.n46613,forms.3331120000,verbstems.n46613,verbinfl.ewdeppresindic17
ἡγοῦνται,lsj.n46613,forms.3331130000,verbstems.n46613,verbinfl.ewdeppresindic18
ἡγοίμην,lsj.n46613,forms.3111320000,verbstems.n46613,verbinfl.ewdeppresopt2
ἡγοίμην,lsj.n46613,forms.3111330000,verbstems.n46613,verbinfl.ewdeppresopt3
ἡγοῖο,lsj.n46613,forms.3211320000,verbstems.n46613,verbinfl.ewdeppresopt5
ἡγοῖο,lsj.n46613,forms.3211330000,verbstems.n46613,verbinfl.ewdeppresopt6
ἡγοῖτο,lsj.n46613,forms.3311320000,verbstems.n46613,verbinfl.ewdeppresopt8
ἡγοῖτο,lsj.n46613,forms.3311330000,verbstems.n46613,verbinfl.ewdeppresopt9
ἡγοῖμεθα,lsj.n46613,forms.3131320000,verbstems.n46613,verbinfl.ewdeppresopt11
ἡγοῖμεθα,lsj.n46613,forms.3131330000,verbstems.n46613,verbinfl.ewdeppresopt12
ἡγοῖσθε,lsj.n46613,forms.3231320000,verbstems.n46613,verbinfl.ewdeppresopt14
ἡγοῖσθε,lsj.n46613,forms.3231330000,verbstems.n46613,verbinfl.ewdeppresopt15
ἡγοῖντο,lsj.n46613,forms.3331320000,verbstems.n46613,verbinfl.ewdeppresopt17
ἡγοῖντο,lsj.n46613,forms.3331330000,verbstems.n46613,verbinfl.ewdeppresopt18
ἡγῶμαι,lsj.n46613,forms.3111220000,verbstems.n46613,verbinfl.ewdeppressubj2
ἡγῶμαι,lsj.n46613,forms.3111230000,verbstems.n46613,verbinfl.ewdeppressubj3
ἡγῇ,lsj.n46613,forms.3211220000,verbstems.n46613,verbinfl.ewdeppressubj5
ἡγῇ,lsj.n46613,forms.3211230000,verbstems.n46613,verbinfl.ewdeppressubj6
ἡγῆται,lsj.n46613,forms.3311220000,verbstems.n46613,verbinfl.ewdeppressubj8
ἡγῆται,lsj.n46613,forms.3311230000,verbstems.n46613,verbinfl.ewdeppressubj9
ἡγώμεθα,lsj.n46613,forms.3131220000,verbstems.n46613,verbinfl.ewdeppressubj11
ἡγώμεθα,lsj.n46613,forms.3131230000,verbstems.n46613,verbinfl.ewdeppressubj12
ἡγῆσθε,lsj.n46613,forms.3231220000,verbstems.n46613,verbinfl.ewdeppressubj14
ἡγῆσθε,lsj.n46613,forms.3231230000,verbstems.n46613,verbinfl.ewdeppressubj15
ἡγῶνται,lsj.n46613,forms.3331220000,verbstems.n46613,verbinfl.ewdeppressubj17
ἡγῶνται,lsj.n46613,forms.3331230000,verbstems.n46613,verbinfl.ewdeppressubj18
ἡγεῖσθαι,lsj.n46613,forms.4001020000,verbstems.n46613,infinfl.ewdep2
ἡγεῖσθαι,lsj.n46613,forms.4001030000,verbstems.n46613,infinfl.ewdep3
ἡγήσεσθαι,lsj.n46613,forms.4006020000,verbstems.n46613,infinfl.ewdep5
ἡγήθεσθαι,lsj.n46613,forms.4006030000,verbstems.n46613,infinfl.ewdep6
ἡγήσασθαι,lsj.n46613,forms.4003020000,verbstems.n46613,infinfl.ewdep5
ἥγηθαι,lsj.n46613,forms.4003030000,verbstems.n46613,infinfl.ewdep6
ἡγησάμενος,lsj.n46613,forms.5013021100,verbstems.n46613,ptcplinfl.ewdepaormid1
ἡγησαμένου,lsj.n46613,forms.5013021200,verbstems.n46613,ptcplinfl.ewdepaormid2
ἡγησαμένῳ,lsj.n46613,forms.5013021300,verbstems.n46613,ptcplinfl.ewdepaormid3
ἡγησάμενον,lsj.n46613,forms.5013021400,verbstems.n46613,ptcplinfl.ewdepaormid4
ἡγησάμενοι,lsj.n46613,forms.5033021100,verbstems.n46613,ptcplinfl.ewdepaormid6
ἡγησαμένων,lsj.n46613,forms.5033021200,verbstems.n46613,ptcplinfl.ewdepaormid7
ἡγησαμένοις,lsj.n46613,forms.5033021300,verbstems.n46613,ptcplinfl.ewdepaormid8
ἡγησαμένους,lsj.n46613,forms.5033021400,verbstems.n46613,ptcplinfl.ewdepaormid9
ἡγησάμενον,lsj.n46613,forms.5013023100,verbstems.n46613,ptcplinfl.ewdepaormid11
ἡγησαμένου,lsj.n46613,forms.5013023200,verbstems.n46613,ptcplinfl.ewdepaormid12
ἡγησαμένῳ,lsj.n46613,forms.5013023300,verbstems.n46613,ptcplinfl.ewdepaormid13
ἡγησάμενον,lsj.n46613,forms.5013023400,verbstems.n46613,ptcplinfl.ewdepaormid14
ἡγησάμενα,lsj.n46613,forms.5033023100,verbstems.n46613,ptcplinfl.ewdepaormid16
ἡγησαμένων,lsj.n46613,forms.5033023200,verbstems.n46613,ptcplinfl.ewdepaormid17
ἡγησαμένοις,lsj.n46613,forms.5033023300,verbstems.n46613,ptcplinfl.ewdepaormid18
ἡγησάμενα,lsj.n46613,forms.5033023400,verbstems.n46613,ptcplinfl.ewdepaormid19
ἡγησαμένη,lsj.n46613,forms.5013022100,verbstems.n46613,ptcplinfl.ewdepaormid20
ἡγησαμένης,lsj.n46613,forms.5013022200,verbstems.n46613,ptcplinfl.ewdepaormid21
ἡγησαμένῃ,lsj.n46613,forms.5013022300,verbstems.n46613,ptcplinfl.ewdepaormid22
ἡγησαμένην,lsj.n46613,forms.5013022400,verbstems.n46613,ptcplinfl.ewdepaormid23
ἡγησάμεναι,lsj.n46613,forms.5033022100,verbstems.n46613,ptcplinfl.ewdepaormid24
ἡγησαμένων,lsj.n46613,forms.5033022200,verbstems.n46613,ptcplinfl.ewdepaormid25
ἡγησαμέναις,lsj.n46613,forms.5033022300,verbstems.n46613,ptcplinfl.ewdepaormid26
ἡγησαμένας,lsj.n46613,forms.5033022400,verbstems.n46613,ptcplinfl.ewdepaormid27
ἡγηθεῖς,lsj.n46613,forms.5013031100,verbstems.n46613,ptcplinfl.ewdepaorpass1p
ἡγηθέντος,lsj.n46613,forms.5013031200,verbstems.n46613,ptcplinfl.ewdepaorpass2p
ἡγηθέντι,lsj.n46613,forms.5013031300,verbstems.n46613,ptcplinfl.ewdepaorpass3p
ἡγηθέντα,lsj.n46613,forms.5013031400,verbstems.n46613,ptcplinfl.ewdepaorpass4p
ἡγηθέντες,lsj.n46613,forms.5033031100,verbstems.n46613,ptcplinfl.ewdepaorpass6p
ἡγηθέντων,lsj.n46613,forms.5033031200,verbstems.n46613,ptcplinfl.ewdepaorpass7p
ἡγηθεῖσι,lsj.n46613,forms.5033031300,verbstems.n46613,ptcplinfl.ewdepaorpass8p
ἡγηθεῖσιν,lsj.n46613,forms.5033031300,verbstems.n46613,ptcplinfl.ewdepaorpass8pa
ἡγηθέντας,lsj.n46613,forms.5033031400,verbstems.n46613,ptcplinfl.ewdepaorpass9p
ἡγηθέν,lsj.n46613,forms.5013033100,verbstems.n46613,ptcplinfl.ewdepaorpass11
ἡγηθέντος,lsj.n46613,forms.5013033200,verbstems.n46613,ptcplinfl.ewdepaorpass12
ἡγηθέντι,lsj.n46613,forms.5013033300,verbstems.n46613,ptcplinfl.ewdepaorpass13
ἡγηθέν,lsj.n46613,forms.5013033400,verbstems.n46613,ptcplinfl.ewdepaorpass14
ἡγηθέντα,lsj.n46613,forms.5033033100,verbstems.n46613,ptcplinfl.ewdepaorpass16
ἡγηθέντων,lsj.n46613,forms.5033033200,verbstems.n46613,ptcplinfl.ewdepaorpass17
ἡγηθεῖσι,lsj.n46613,forms.5033033300,verbstems.n46613,ptcplinfl.ewdepaorpass18
ἡγηθεῖσιν,lsj.n46613,forms.5033033300,verbstems.n46613,ptcplinfl.ewdepaorpass18a
ἡγηθέντα,lsj.n46613,forms.5033033400,verbstems.n46613,ptcplinfl.ewdepaorpass19
ἡγηθεῖσα,lsj.n46613,forms.5013032100,verbstems.n46613,ptcplinfl.ewdepaorpass21
ἡγηθείσης,lsj.n46613,forms.5013032200,verbstems.n46613,ptcplinfl.ewdepaorpass22
ἡγηθείσῃ,lsj.n46613,forms.5013032300,verbstems.n46613,ptcplinfl.ewdepaorpass23
ἡγηθεῖσαν,lsj.n46613,forms.5013032400,verbstems.n46613,ptcplinfl.ewdepaorpass24
ἡγηθεῖσαι,lsj.n46613,forms.5033032100,verbstems.n46613,ptcplinfl.ewdepaorpass26
ἡγηθείσων,lsj.n46613,forms.5033032200,verbstems.n46613,ptcplinfl.ewdepaorpass27
ἡγηθεῖσι,lsj.n46613,forms.5033032300,verbstems.n46613,ptcplinfl.ewdepaorpass28
ἡγηθεῖσιν,lsj.n46613,forms.5033032300,verbstems.n46613,ptcplinfl.ewdepaorpass28a
ἡγήθεισας,lsj.n46613,forms.5033032400,verbstems.n46613,ptcplinfl.ewdepaorpass29
ἡγησόμενος,lsj.n46613,forms.5016021100,verbstems.n46613,ptcplinfl.ewdepfut1
ἡγησομένου,lsj.n46613,forms.5016021200,verbstems.n46613,ptcplinfl.ewdepfut2
ἡγησομένῳ,lsj.n46613,forms.5016021300,verbstems.n46613,ptcplinfl.ewdepfut3
ἡγησόμενον,lsj.n46613,forms.5016021400,verbstems.n46613,ptcplinfl.ewdepfut4
ἡγησόμενοι,lsj.n46613,forms.5036021100,verbstems.n46613,ptcplinfl.ewdepfut6
ἡγησομένων,lsj.n46613,forms.5036021200,verbstems.n46613,ptcplinfl.ewdepfut7
ἡγησομένοις,lsj.n46613,forms.5036021300,verbstems.n46613,ptcplinfl.ewdepfut8
ἡγησομένους,lsj.n46613,forms.5036021400,verbstems.n46613,ptcplinfl.ewdepfut9
ἡγησόμενον,lsj.n46613,forms.5016023100,verbstems.n46613,ptcplinfl.ewdepfut11p
ἡγησομένου,lsj.n46613,forms.5016023200,verbstems.n46613,ptcplinfl.ewdepfut12p
ἡγησομένῳ,lsj.n46613,forms.5016023300,verbstems.n46613,ptcplinfl.ewdepfut13p
ἡγησόμενον,lsj.n46613,forms.5016023400,verbstems.n46613,ptcplinfl.ewdepfut14p
ἡγησόμενα,lsj.n46613,forms.5036023100,verbstems.n46613,ptcplinfl.ewdepfut16p
ἡγησομένων,lsj.n46613,forms.5036023200,verbstems.n46613,ptcplinfl.ewdepfut17p
ἡγησομένοις,lsj.n46613,forms.5036023300,verbstems.n46613,ptcplinfl.ewdepfut18p
ἡγησόμενα,lsj.n46613,forms.5036023400,verbstems.n46613,ptcplinfl.ewdepfut19p
ἡγησομένη,lsj.n46613,forms.5016022100,verbstems.n46613,ptcplinfl.ewdepfut20
ἡγησομένης,lsj.n46613,forms.5016022200,verbstems.n46613,ptcplinfl.ewdepfut21
ἡγησομένῃ,lsj.n46613,forms.5016022300,verbstems.n46613,ptcplinfl.ewdepfut22
ἡγησομένην,lsj.n46613,forms.5016022400,verbstems.n46613,ptcplinfl.ewdepfut23
ἡγησόμεναι,lsj.n46613,forms.5036022100,verbstems.n46613,ptcplinfl.ewdepfut24
ἡγησομένων,lsj.n46613,forms.5036022200,verbstems.n46613,ptcplinfl.ewdepfut25
ἡγησομέναις,lsj.n46613,forms.5036022300,verbstems.n46613,ptcplinfl.ewdepfut26
ἡγησομένας,lsj.n46613,forms.5036022400,verbstems.n46613,ptcplinfl.ewdepfut27
ἡγηθησόμενος,lsj.n46613,forms.5016031100,verbstems.n46613,ptcplinfl.ewdepfut1p
ἡγηθησομένου,lsj.n46613,forms.5016031200,verbstems.n46613,ptcplinfl.ewdepfut2p
ἡγηθησομένῳ,lsj.n46613,forms.5016031300,verbstems.n46613,ptcplinfl.ewdepfut3p
ἡγηθησόμενον,lsj.n46613,forms.5016031400,verbstems.n46613,ptcplinfl.ewdepfut4p
ἡγηθησόμενοι,lsj.n46613,forms.5036031100,verbstems.n46613,ptcplinfl.ewdepfut6p
ἡγηθησομένων,lsj.n46613,forms.5036031200,verbstems.n46613,ptcplinfl.ewdepfut7p
ἡγηθησομένοις,lsj.n46613,forms.5036031300,verbstems.n46613,ptcplinfl.ewdepfut8p
ἡγηθησομένους,lsj.n46613,forms.5036031400,verbstems.n46613,ptcplinfl.ewdepfut9p
ἡγηθησόμενον,lsj.n46613,forms.5016033100,verbstems.n46613,ptcplinfl.ewdepfut11p
ἡγηθησομένου,lsj.n46613,forms.5016033200,verbstems.n46613,ptcplinfl.ewdepfut12p
ἡγηθησομένῳ,lsj.n46613,forms.5016033300,verbstems.n46613,ptcplinfl.ewdepfut13p
ἡγηθησόμενον,lsj.n46613,forms.5016033400,verbstems.n46613,ptcplinfl.ewdepfut14p
ἡγηθησόμενα,lsj.n46613,forms.5036033100,verbstems.n46613,ptcplinfl.ewdepfut16p
ἡγηθησομένων,lsj.n46613,forms.5036033200,verbstems.n46613,ptcplinfl.ewdepfut17p
ἡγηθησομένοις,lsj.n46613,forms.5036033300,verbstems.n46613,ptcplinfl.ewdepfut18p
ἡγηθησόμενα,lsj.n46613,forms.5036033400,verbstems.n46613,ptcplinfl.ewdepfut19p
ἡγηθησομένη,lsj.n46613,forms.5016032100,verbstems.n46613,ptcplinfl.ewdepfut20
ἡγηθησομένης,lsj.n46613,forms.5016032200,verbstems.n46613,ptcplinfl.ewdepfut21
ἡγηθησομένῃ,lsj.n46613,forms.5016032300,verbstems.n46613,ptcplinfl.ewdepfut22
ἡγηθησομένην,lsj.n46613,forms.5016032400,verbstems.n46613,ptcplinfl.ewdepfut23
ἡγηθησόμεναι,lsj.n46613,forms.5036032100,verbstems.n46613,ptcplinfl.ewdepfut24
ἡγηθησομένων,lsj.n46613,forms.5036032200,verbstems.n46613,ptcplinfl.ewdepfut25
ἡγηθησομέναις,lsj.n46613,forms.5036032300,verbstems.n46613,ptcplinfl.ewdepfut26
ἡγηθησομένας,lsj.n46613,forms.5036032400,verbstems.n46613,ptcplinfl.ewdepfut27
ἡγημένος,lsj.n46613,forms.5014021100,verbstems.n46613,ptcplinfl.ewdepperfmp1
ἡγημένου,lsj.n46613,forms.5014021200,verbstems.n46613,ptcplinfl.ewdepperfmp2
ἡγημένῳ,lsj.n46613,forms.5014021300,verbstems.n46613,ptcplinfl.ewdepperfmp3
ἡγημένον,lsj.n46613,forms.5014021400,verbstems.n46613,ptcplinfl.ewdepperfmp4
ἡγημένοι,lsj.n46613,forms.5034021100,verbstems.n46613,ptcplinfl.ewdepperfmp6
ἡγημένων,lsj.n46613,forms.5034021200,verbstems.n46613,ptcplinfl.ewdepperfmp7
ἡγημένοις,lsj.n46613,forms.5034021300,verbstems.n46613,ptcplinfl.ewdepperfmp8
ἡγημένους,lsj.n46613,forms.5034021400,verbstems.n46613,ptcplinfl.ewdepperfmp9
ἡγημένος,lsj.n46613,forms.5014031100,verbstems.n46613,ptcplinfl.ewdepperfmp1p
ἡγημένου,lsj.n46613,forms.5014031200,verbstems.n46613,ptcplinfl.ewdepperfmp2p
ἡγημένῳ,lsj.n46613,forms.5014031300,verbstems.n46613,ptcplinfl.ewdepperfmp3p
ἡγημένον,lsj.n46613,forms.5014031400,verbstems.n46613,ptcplinfl.ewdepperfmp4p
ἡγημένοι,lsj.n46613,forms.5034031100,verbstems.n46613,ptcplinfl.ewdepperfmp6p
ἡγημένων,lsj.n46613,forms.5034031200,verbstems.n46613,ptcplinfl.ewdepperfmp7p
